index,Coefficient,Lower CI,Upper CI,P-value
Sender country (ref. England),,,,
South Africa,-0.25272271698085086,-0.37276385645377197,-0.13268157750792972,3.68624027600416e-05
University country (ref. England),,,,
South Africa,-0.2259767246329876,-0.3446386423726914,-0.10731480689328382,0.0001895846763528031
University ranking (ref. ~150),,,,
1001-1200,-0.17112176285561462,-0.2895104520146825,-0.05273307369654673,0.004611663248110459
Request Purpose (ref. Journal article),,,,
Final course project,0.04208130850486173,-0.07618497647750425,0.16034759348722769,0.4855580988097288
Article Domain (ref. Health Sciences),,,,
Life Sciences,0.2663496462553561,0.1028071373389812,0.42989215517173107,0.0014126732979734425
Physical Sciences,0.14636663370726544,-0.02656896236083328,0.31930222977536415,0.09714705115827219
Social Sciences,0.2255657450942667,-0.21949282330796543,0.6706243134964989,0.32053744037238485
Recipient academic characteristics,,,,
h index,-0.0033240209919641163,-0.005608764385022471,-0.0010392775989057617,0.004351254918208868
Academic age,0.013876716612157136,0.007360933381103096,0.020392499843211176,2.990989950479727e-05
